[alpha_acc]
x           = 0.0132 0.0178 0.0236 0.0312 0.0416 0.0565 0.0773 0.1064 0.1494 0.2167 0.3228 0.4840 0.7259 1.0888 1.6336 2.4511 3.6781 5.5200 8.2850 12.4357 18.6674 27.4771
rho/rho_inf = 265.2880 174.5762 114.5534 76.4891 51.1595 34.0247 22.6833 14.9606 10.0213 6.6854 4.6250 3.3094 2.5177 2.0203 1.7229 1.4924 1.3375 1.2311 1.1639 1.1188 1.0985 1.0867

